"","X","start.time","end.time","category","Nth.instance","X..descriptors","Offensive.Team","Position","Location","Tactic","Type","Hand","Result","Defense","Save.Diff","Shot.Diff","Athlete","x","y","xj","yj","distance","angle","Goal"
"127",127,"00:20:56:85","00:21:06:85","Shot",127,11,"Pacific",61,"Location 6","6 on 5","Normal","Right","Goal","Pressured",4,2,7,1,2.5,1.186483521,2.428796689,2.692582404,0.380506377,"Goal"
"128",128,"00:21:07:05","00:21:17:05","Shot",128,10,"UC Davis",41,"Location 2","Perimeter","Normal","Left","Save","Field Blocker",2,4,NA,-2,5.5,-2.213486402,5.680319924,5.852349955,-0.348771004,"Not Goal"
"129",129,"00:21:17:25","00:21:27:25","Shot",129,11,"Pacific",35,"Location 2","Perimeter","Normal","Right","Miss","Field Blocker",1,5,5,0,6.5,0.357821581,6.742921165,6.5,0,"Not Goal"
"130",130,"00:21:27:45","00:21:37:45","Shot",130,10,"UC Davis",58,"Location 2","Perimeter","Lob","Right","Save","Field Blocker",1,4,NA,-3,4.5,-2.840561575,4.941536993,5.408326913,-0.588002604,"Not Goal"
"131",131,"00:21:37:65","00:21:47:65","Shot",131,11,"Pacific",23,"Location 5","Quick","Normal","Right","Goal","Uncontested",4,2,7,2,5.5,1.80257464,5.569773782,5.852349955,0.348771004,"Goal"
"132",132,"00:21:47:85","00:21:57:85","Shot",132,11,"Pacific",44,"Location 2","Shot Clock","Skip","Right","Miss","Contested",1,4,10,-2,6.5,-1.734276935,6.640897375,6.800735254,-0.298498932,"Not Goal"
"133",133,"00:21:58:05","00:22:08:05","Shot",133,10,"UC Davis",41,"Location 2","Perimeter","Normal","Right","Miss","Contested",1,4,NA,-2,5.5,-1.928869121,5.84906588,5.852349955,-0.348771004,"Not Goal"
"134",134,"00:22:08:26","00:22:18:26","Shot",134,11,"Pacific",19,"Location 2","6 on 5","Normal","Right","Miss","Contested",1,3,5,2,4.5,2.190866305,4.866666976,4.924428901,0.41822433,"Not Goal"
"135",135,"00:22:18:46","00:22:28:46","Shot",135,10,"UC Davis",63,"Location 2","Center","Normal","Right","New Clock","Contested",3,3,NA,-1,2.5,-0.60625527,2.329869628,2.692582404,-0.380506377,"Not Goal"
"136",136,"00:22:28:66","00:22:38:66","Shot",136,10,"UC Davis",55,"Location 4","Perimeter","Normal","Right","Save","Field Blocker",3,3,NA,-3,3.5,-3.288920325,3.329832596,4.609772229,-0.708626272,"Not Goal"
"137",137,"00:22:38:86","00:22:48:86","Shot",137,10,"UC Davis",32,"Location 2","Penalty","Skip","Right","Goal","Other",5,1,NA,0,5.5,0.002822252,5.012895446,5.5,0,"Goal"
"138",138,"00:22:49:06","00:22:59:06","Shot",138,11,"Pacific",13,"Location 4","6 on 5","Normal","Right","Goal","Field Blocker",4,2,4,2,2.5,2.30029227,2.526201527,3.201562119,0.674740942,"Goal"
"139",139,"00:22:59:26","00:23:09:26","Shot",139,11,"Pacific",19,"Location 3","6 on 5","Skip","Right","Goal","Contested",3,3,15,2,4.5,1.753016781,4.679754485,4.924428901,0.41822433,"Goal"
"140",140,"00:23:09:46","00:23:19:46","Shot",140,10,"UC Davis",41,"Location 4","Perimeter","Skip","Left","New Clock","Contested",2,4,NA,-2,5.5,-2.311075644,5.180036196,5.852349955,-0.348771004,"Not Goal"
"141",141,"00:23:19:66","00:23:29:66","Shot",141,10,"UC Davis",63,"Location 6","Center","Backhand","Right","Save","Contested",2,3,NA,-1,2.5,-0.862005133,2.645970725,2.692582404,-0.380506377,"Not Goal"
"142",142,"00:23:29:86","00:23:39:86","Shot",142,11,"Pacific",41,"Location 5","Transition","Skip","Right","Goal","Field Blocker",2,4,10,-2,5.5,-2.333955438,5.131835885,5.852349955,-0.348771004,"Goal"
"143",143,"00:23:40:06","00:23:46:53","Shot",143,10,"UC Davis",63,"Location 2","Center","Normal","Right","Save","Pressured",4,2,NA,-1,2.5,-1.214279863,2.826766843,2.692582404,-0.380506377,"Not Goal"
"144",144,"00:23:46:53","00:23:53:00","Shot",144,10,"UC Davis",32,"Location 6","Rebound","Skip","Right","Save","Field Blocker",2,3,NA,0,5.5,-0.031355103,5.389657859,5.5,0,"Not Goal"
"145",145,"00:23:53:20","00:24:03:20","Shot",145,10,"UC Davis",41,"Location 5","Perimeter","Skip","Left","Save","Contested",2,4,NA,-2,5.5,-2.279457336,5.157024558,5.852349955,-0.348771004,"Not Goal"
"146",146,"00:24:03:40","00:24:13:40","Shot",146,11,"Pacific",61,"Location 3","6 on 5","Normal","Right","Field Block","Field Blocker",1,2,3,1,2.5,1.221547946,2.879595835,2.692582404,0.380506377,"Not Goal"
"147",147,"00:24:13:60","00:24:23:60","Shot",147,10,"UC Davis",32,"Location 5","Penalty","Skip","Left","Goal","Other",5,1,NA,0,5.5,0.107130588,5.774644538,5.5,0,"Goal"
"148",148,"00:24:23:80","00:24:33:80","Shot",148,10,"UC Davis",23,"Location 4","Perimeter","Normal","Right","Save","Field Blocker",3,3,NA,2,5.5,1.996798452,5.33811085,5.852349955,0.348771004,"Not Goal"
"149",149,"00:24:34:00","00:24:44:00","Shot",149,11,"Pacific",67,"Location 4","Transition","Backhand","Right","Miss","Contested",1,3,2,1,4.5,0.750870379,4.534844764,4.609772229,0.218668946,"Not Goal"
"150",150,"00:24:44:20","00:24:54:20","Shot",150,11,"Pacific",57,"Location 4","6 on 5","Normal","Right","Goal","Field Blocker",3,3,10,-2,4.5,-2.082522005,4.729655439,4.924428901,-0.41822433,"Goal"
"151",151,"00:24:54:40","00:25:04:40","Shot",151,10,"UC Davis",32,"Location 1","Penalty","Skip","Right","Goal","Other",5,1,NA,0,5.5,-0.230868951,5.928364202,5.5,0,"Goal"
"152",152,"00:25:04:60","00:25:14:60","Shot",152,11,"Pacific",51,"Location 4","Perimeter","Normal","Right","Goal","Contested",3,3,7,-2,2.5,-2.498226464,2.005080827,3.201562119,-0.674740942,"Goal"
"153",153,"00:25:14:80","00:25:24:80","Shot",153,10,"UC Davis",23,"Location 4","6 on 5","Normal","Right","Goal","Blocker at Distance",4,3,NA,2,5.5,1.576339756,5.860534436,5.852349955,0.348771004,"Goal"
"154",154,"00:25:25:01","00:25:35:01","Shot",154,10,"UC Davis",54,"Location 1","Perimeter","Skip","Left","Miss","Field Blocker",1,3,NA,-2,3.5,-1.748488169,3.923789289,4.031128874,-0.519146114,"Not Goal"
"155",155,"00:25:35:21","00:25:45:21","Shot",155,11,"Pacific",32,"Location 5","Shot Clock","Skip","Right","Save","Contested",2,4,10,0,5.5,0.495917175,5.153673024,5.5,0,"Not Goal"
"156",156,"00:25:45:41","00:25:55:41","Shot",156,10,"UC Davis",57,"Location 2","Transition","Normal","Left","Goal","Pressured",3,3,NA,-2,4.5,-1.538877734,4.596205341,4.924428901,-0.41822433,"Goal"
"157",157,"00:25:55:61","00:26:05:61","Shot",157,10,"UC Davis",12,"Location 1","6 on 5","Skip","Right","Save","Field Blocker",3,3,NA,3,2.5,2.793180249,2.963356255,3.905124838,0.876058051,"Not Goal"
"158",158,"00:26:05:81","00:26:15:81","Shot",158,10,"UC Davis",13,"Location 2","Drive","Normal","Right","Goal","Pressured",3,2,NA,2,2.5,1.782360457,2.811027239,3.201562119,0.674740942,"Goal"
"159",159,"00:26:16:01","00:26:26:01","Shot",159,11,"Pacific",23,"Location 5","Direct","Skip","Right","Save","Field Blocker",2,4,10,2,5.5,1.667471004,5.118624797,5.852349955,0.348771004,"Not Goal"
"160",160,"00:26:26:21","00:26:36:21","Shot",160,11,"Pacific",68,"Location 4","Transition","Normal","Right","New Clock","Contested",3,3,15,0,4.5,-0.485530348,4.281680885,4.5,0,"Not Goal"
"161",161,"00:26:36:41","00:26:46:41","Shot",161,10,"UC Davis",41,"Location 3","Perimeter","Normal","Right","Miss","Contested",1,4,NA,-2,5.5,-1.593310136,5.79447709,5.852349955,-0.348771004,"Not Goal"
"162",162,"00:26:46:61","00:26:56:61","Shot",162,11,"Pacific",35,"Location 2","Perimeter","Normal","Right","New Clock","Contested",2,4,4,0,6.5,0.346768979,6.614744058,6.5,0,"Not Goal"
"163",163,"00:26:56:81","00:27:06:81","Shot",163,11,"Pacific",52,"Location 4","6 on 5","Normal","Left","Save","Field Blocker",2,3,12,-3,2.5,-2.534574626,2.594901789,3.905124838,-0.876058051,"Not Goal"
"164",164,"00:27:07:01","00:27:17:01","Shot",164,10,"UC Davis",66,"Location 6","Center","Backhand","Right","Goal","Contested",4,3,NA,-1,3.5,-1.388879466,3.101004248,3.640054945,-0.278299659,"Goal"
"165",165,"00:27:17:21","00:27:27:21","Shot",165,11,"Pacific",57,"Location 2","Perimeter","Normal","Right","New Clock","Pressured",3,4,7,-2,4.5,-2.265032537,4.242179178,4.924428901,-0.41822433,"Not Goal"
"166",166,"00:27:27:42","00:27:37:42","Shot",166,11,"Pacific",32,"Location 1","Perimeter","Lob","Right","Save","Contested",1,4,10,0,5.5,0.199873348,5.674243104,5.5,0,"Not Goal"
"167",167,"00:27:37:62","00:27:47:62","Shot",167,11,"Pacific",13,"Location 4","6 on 5","Normal","Right","Save","Field Blocker",4,2,4,2,2.5,2.43134,2.5206667,3.201562119,0.674740942,"Not Goal"
"168",168,"00:27:47:82","00:27:57:82","Shot",168,11,"Pacific",51,"Location 4","6 on 5","Skip","Right","Save","Field Blocker",3,4,10,-2,2.5,-1.974781712,2.635680806,3.201562119,-0.674740942,"Not Goal"
"169",169,"00:27:58:02","00:28:08:02","Shot",169,10,"UC Davis",61,"Location 1","6 on 5","Normal","Right","Goal","Pressured",5,1,NA,1,2.5,0.515468731,2.268271085,2.692582404,0.380506377,"Goal"
"170",170,"00:28:08:22","00:28:18:22","Shot",170,10,"UC Davis",44,"Location 2","Perimeter","Normal","Left","Save","Field Blocker",2,4,NA,-2,6.5,-1.542221596,6.584236199,6.800735254,-0.298498932,"Not Goal"
"171",171,"00:28:18:42","00:28:28:42","Shot",171,10,"UC Davis",61,"Location 6","Transition","Normal","Right","Save","Pressured",1,3,NA,1,2.5,0.859554745,2.541259538,2.692582404,0.380506377,"Not Goal"
"172",172,"00:28:28:62","00:28:38:62","Shot",172,11,"Pacific",51,"Location 1","Perimeter","Normal","Right","Goal","Field Blocker",2,3,10,-2,2.5,-2.402270687,2.551387666,3.201562119,-0.674740942,"Goal"
"173",173,"00:28:38:82","00:28:48:82","Shot",173,10,"CAL",62,"Location 2","Center","Normal","Right","Goal","Contested",4,3,NA,0,2.5,0.005351575,2.364555142,2.5,0,"Goal"
"174",174,"00:28:49:02","00:28:59:02","Shot",174,10,"CAL",23,"Location 5","Perimeter","Normal","Right","Goal","Field Blocker",2,3,NA,2,5.5,1.913751514,5.812396528,5.852349955,0.348771004,"Goal"
"175",175,"00:28:59:22","00:29:09:22","Shot",175,11,"Pacific",19,"Location 2","6 on 5","Normal","Right","Goal","Field Blocker",3,3,5,2,4.5,2.382789091,4.972601129,4.924428901,0.41822433,"Goal"
"176",176,"00:29:09:42","00:29:19:42","Shot",176,10,"CAL",32,"Location 2","6 on 5","Normal","Right","Field Block","Field Blocker",3,3,NA,0,5.5,0.240261666,5.744764143,5.5,0,"Not Goal"
"177",177,"00:29:19:62","00:29:29:62","Shot",177,10,"CAL",7,"Location 5","First Wave","Skip","Right","Save","Uncontested",4,2,NA,-2,1,-1.541416796,1.386894546,2.236067977,-1.107148718,"Not Goal"
"178",178,"00:29:29:82","00:29:39:52","Shot",178,11,"Pacific",13,"Location 4","First Wave","Lob","Right","Miss","Pressured",1,2,15,2,2.5,2.002331297,2.276316958,3.201562119,0.674740942,"Not Goal"
"179",179,"00:29:39:52","00:29:49:22","Shot",179,10,"CAL",23,"Location 2","Perimeter","Normal","Right","Goal","Contested",3,3,NA,2,5.5,1.924641278,5.755905952,5.852349955,0.348771004,"Goal"
"180",180,"00:29:50:23","00:29:56:54","Shot",180,11,"Pacific",19,"Location 2","6 on 5","Normal","Right","Field Block","Field Blocker",1,3,7,2,4.5,2.160065007,4.300621069,4.924428901,0.41822433,"Not Goal"
"181",181,"00:29:56:54","00:30:02:86","Shot",181,11,"Pacific",6,"Location 5","Rebound","Normal","Right","Save","Pressured",2,3,2,-1,1,-1.360636592,0.548960529,1.414213562,-0.785398163,"Not Goal"
"182",182,"00:30:03:06","00:30:13:06","Shot",182,10,"CAL",57,"Location 5","Perimeter","Normal","Right","Field Block","Contested",1,4,NA,-2,4.5,-2.037649908,4.654469776,4.924428901,-0.41822433,"Not Goal"
"183",183,"00:30:13:26","00:30:23:26","Shot",183,10,"CAL",33,"Location 4","Perimeter","Normal","Right","Save","Field Blocker",3,4,NA,-1,5.5,-0.589802786,5.598316521,5.590169944,-0.1798535,"Not Goal"
"184",184,"00:30:23:46","00:30:33:46","Shot",184,11,"Pacific",32,"Location 2","6 on 5","Normal","Right","Goal","Blocker at Distance",3,3,5,0,5.5,-0.065722704,5.495554103,5.5,0,"Goal"
"185",185,"00:30:33:66","00:30:43:66","Shot",185,11,"Pacific",31,"Location 4","Direct","Lob","Left","Miss","Field Blocker",1,3,8,1,5.5,0.876082476,5.2406884,5.590169944,0.1798535,"Not Goal"
"186",186,"00:30:43:86","00:30:53:86","Shot",186,10,"CAL",32,"Location 1","Perimeter","Skip","Right","Goal","Field Blocker",2,4,NA,0,5.5,0.320517645,5.052810453,5.5,0,"Goal"
"187",187,"00:30:54:06","00:31:04:06","Shot",187,11,"Pacific",303,"Off Target","End Quarter","Normal","Left","Field Block","Blocker at Distance",1,5,8,2,1,1.79284333,0.529420889,2.236067977,1.107148718,"Not Goal"
"188",188,"00:31:04:26","00:31:14:26","Shot",188,10,"CAL",68,"Location 4","Perimeter","Normal","Right","Goal","Field Blocker",4,3,NA,0,4.5,0.431387482,4.40295587,4.5,0,"Goal"
"189",189,"00:31:14:46","00:31:24:46","Shot",189,11,"Pacific",13,"Location 1","6 on 5","Skip","Right","Goal","Field Blocker",3,3,15,2,2.5,1.792729758,2.050740266,3.201562119,0.674740942,"Goal"
"190",190,"00:31:24:66","00:31:33:92","Shot",190,11,"Pacific",19,"Location 2","6 on 5","Normal","Right","Miss","Field Blocker",1,3,5,2,4.5,1.688045311,4.609525864,4.924428901,0.41822433,"Not Goal"
"191",191,"00:31:33:92","00:31:43:18","Shot",191,11,"Pacific",19,"Location 1","6 on 5","Skip","Right","Goal","Field Blocker",3,3,5,2,4.5,1.684632476,4.936701645,4.924428901,0.41822433,"Goal"
"192",192,"00:31:43:38","00:31:53:38","Shot",192,10,"CAL",7,"Location 6","6 on 5","Normal","Left","Goal","Field Blocker",2,4,NA,-2,1,-2.307508505,0.992290614,2.236067977,-1.107148718,"Goal"
"193",193,"00:31:53:58","00:32:03:58","Shot",193,10,"CAL",68,"Location 2","Quick","Normal","Right","Goal","Field Blocker",4,2,NA,0,4.5,-0.178730768,4.225166847,4.5,0,"Goal"
"194",194,"00:32:03:78","00:32:13:78","Shot",194,11,"Pacific",51,"Location 1","6 on 5","Normal","Right","Goal","Field Blocker",3,3,8,-2,2.5,-2.271823793,2.874591466,3.201562119,-0.674740942,"Goal"
"195",195,"00:32:13:98","00:32:23:98","Shot",195,10,"CAL",69,"Location 4","Perimeter","Normal","Right","Save","Field Blocker",3,3,NA,-1,4.5,-0.73726535,4.545432067,4.609772229,-0.218668946,"Not Goal"
"196",196,"00:32:24:18","00:32:34:18","Shot",196,11,"Pacific",41,"Location 2","Perimeter","Normal","Right","Miss","Field Blocker",1,4,18,-2,5.5,-2.191357389,5.109492826,5.852349955,-0.348771004,"Not Goal"
"197",197,"00:32:34:38","00:32:44:38","Shot",197,10,"CAL",62,"Off Target","Center","Normal","Right","Field Block","Contested",1,3,NA,0,2.5,-0.385643261,2.857909606,2.5,0,"Not Goal"
"198",198,"00:32:44:58","00:32:54:58","Shot",198,10,"CAL",33,"Location 1","Perimeter","Normal","Left","Goal","Blocker at Distance",2,4,NA,-1,5.5,-1.136131294,5.136183535,5.590169944,-0.1798535,"Goal"
"199",199,"00:32:54:79","00:33:04:79","Shot",199,11,"Pacific",13,"Location 2","Drive","Normal","Right","Miss","Pressured",1,2,15,2,2.5,2.130706511,2.790461599,3.201562119,0.674740942,"Not Goal"
"200",200,"00:33:04:99","00:33:14:99","Shot",200,10,"CAL",62,"Location 3","Transition","Normal","Right","Miss","Contested",1,3,NA,0,2.5,0.175984321,2.66008342,2.5,0,"Not Goal"
"201",201,"00:33:15:19","00:33:25:19","Shot",201,11,"Pacific",19,"Location 2","6 on 5","Normal","Right","Field Block","Field Blocker",2,3,5,2,4.5,1.886878163,4.150197674,4.924428901,0.41822433,"Not Goal"
"202",202,"00:33:25:39","00:33:35:39","Shot",202,11,"Pacific",41,"Location 4","Perimeter","Normal","Right","Miss","Field Blocker",1,4,10,-2,5.5,-1.903763922,5.842888499,5.852349955,-0.348771004,"Not Goal"
"203",203,"00:33:35:59","00:33:45:59","Shot",203,10,"CAL",52,"Location 5","6 on 5","Skip","Left","Goal","Field Blocker",3,3,NA,-3,2.5,-2.811744448,2.334678209,3.905124838,-0.876058051,"Goal"
"204",204,"00:33:45:79","00:33:55:79","Shot",204,11,"Pacific",57,"Location 2","Transition","Normal","Left","Goal","Contested",3,4,8,-2,4.5,-2.380919568,4.234447907,4.924428901,-0.41822433,"Goal"
"205",205,"00:33:55:99","00:34:05:99","Shot",205,10,"CAL",33,"Location 4","Perimeter","Normal","Left","Goal","Field Blocker",4,4,NA,-1,5.5,-1.457035607,5.420009862,5.590169944,-0.1798535,"Goal"
"206",206,"00:34:06:19","00:34:16:19","Shot",206,10,"CAL",61,"Location 4","Double Post","Normal","Right","Goal","Contested",4,3,NA,1,2.5,0.750131382,2.333226896,2.692582404,0.380506377,"Goal"
"207",207,"00:34:16:39","00:34:26:39","Shot",207,11,"Pacific",33,"Location 4","Perimeter","Lob","Right","Goal","Field Blocker",3,4,10,-1,5.5,-0.866561381,5.889021786,5.590169944,-0.1798535,"Goal"
"208",208,"00:34:26:59","00:34:36:59","Shot",208,10,"CAL",54,"Location 6","Perimeter","Normal","Left","Save","Contested",2,4,NA,-2,3.5,-1.703356683,3.64266478,4.031128874,-0.519146114,"Not Goal"
"209",209,"00:34:36:79","00:34:46:79","Shot",209,11,"Pacific",16,"Location 2","6 on 5","Normal","Right","Field Block","Field Blocker",1,3,5,2,3.5,1.719929736,3.356037512,4.031128874,0.519146114,"Not Goal"
"210",210,"00:34:46:99","00:34:56:99","Shot",210,10,"CAL",16,"Location 3","Perimeter","Normal","Right","Goal","Contested",2,3,NA,2,3.5,1.527720642,3.967410319,4.031128874,0.519146114,"Goal"
"211",211,"00:34:57:20","00:35:07:20","Shot",211,11,"Pacific",57,"Location 2","Perimeter","Normal","Left","New Clock","Contested",2,4,8,-2,4.5,-1.690516218,4.890620748,4.924428901,-0.41822433,"Not Goal"
"212",212,"00:35:07:40","00:35:17:40","Shot",212,10,"CAL",66,"Location 1","Transition","Skip","Right","Goal","Pressured",3,3,NA,-1,3.5,-1.31909297,3.97783989,3.640054945,-0.278299659,"Goal"
"213",213,"00:35:17:60","00:35:27:60","Shot",213,11,"Pacific",69,"Location 2","Perimeter","Lob","Right","Save","Contested",2,3,10,-1,4.5,-1.102170578,4.318065588,4.609772229,-0.218668946,"Not Goal"
"214",214,"00:35:27:80","00:35:37:80","Shot",214,10,"CAL",62,"Location 2","Center","Normal","Right","Goal","Contested",4,4,NA,0,2.5,-0.260139525,2.948499899,2.5,0,"Goal"
"215",215,"00:35:38:00","00:35:48:00","Shot",215,11,"Pacific",57,"Off Target","Individual","Normal","Left","Field Block","Contested",1,4,8,-2,4.5,-2.18251973,4.433557561,4.924428901,-0.41822433,"Not Goal"
"216",216,"00:35:48:20","00:35:58:20","Shot",216,11,"Pacific",32,"Location 2","Direct","Lob","Right","Save","Field Blocker",2,3,15,0,5.5,0.418351586,5.832154774,5.5,0,"Not Goal"
"217",217,"00:35:58:40","00:36:08:40","Shot",217,11,"Pacific",63,"Location 5","Center","Backhand","Left","Miss","Contested",1,3,8,-1,2.5,-0.676558612,2.307150809,2.692582404,-0.380506377,"Not Goal"
"218",218,"00:36:08:60","00:36:18:60","Shot",218,11,"Pacific",57,"Location 4","Perimeter","Normal","Left","Save","Contested",2,4,8,-2,4.5,-2.163591596,4.399359803,4.924428901,-0.41822433,"Not Goal"
"219",219,"00:36:18:80","00:36:28:80","Shot",219,11,"Pacific",63,"Location 4","Transition","Normal","Left","Goal","Contested",4,3,8,-1,2.5,-1.339566907,2.091711192,2.692582404,-0.380506377,"Goal"
"220",220,"00:36:29:00","00:36:39:00","Shot",220,11,"Pacific",32,"Location 4","6 on 5","Normal","Right","Miss","Field Blocker",1,3,10,0,5.5,-0.34673622,5.657804305,5.5,0,"Not Goal"
"221",221,"00:36:39:20","00:36:49:20","Shot",221,10,"CAL",65,"Location 2","Center","Lob","Right","Goal","Pressured",4,3,NA,0,3.5,0.423584,3.083341832,3.5,0,"Goal"
"222",222,"00:36:49:40","00:36:59:40","Shot",222,11,"Pacific",32,"Location 4","Perimeter","Lob","Right","Miss","Contested",1,4,5,0,5.5,0.402140875,5.16025089,5.5,0,"Not Goal"
"223",223,"00:36:59:60","00:37:09:60","Shot",223,11,"Pacific",33,"Location 4","6 on 5","Normal","Right","Goal","Pressured",3,3,5,-1,5.5,-0.990357336,5.836968683,5.590169944,-0.1798535,"Goal"
"224",224,"00:37:09:81","00:37:19:81","Shot",224,11,"Pacific",35,"Location 1","Perimeter","Normal","Right","Goal","Field Blocker",2,4,18,0,6.5,-0.459454233,6.420433866,6.5,0,"Goal"
"225",225,"00:37:20:01","00:37:30:01","Shot",225,10,"CAL",202,"Location 4","Direct","Lob","Right","Miss","Field Blocker",1,4,NA,3,1,3.429191695,1.06879075,3.16227766,1.249045772,"Not Goal"
"226",226,"00:37:30:20","00:37:40:20","Shot",226,11,"Pacific",54,"Location 2","Perimeter","Lob","Left","Save","Pressured",2,3,8,-2,3.5,-1.79457657,3.270942985,4.031128874,-0.519146114,"Not Goal"
"227",227,"00:37:40:40","00:37:50:40","Shot",227,10,"UCI",57,"Off Target","Post up","Normal","Right","Miss","Contested",1,4,NA,-2,4.5,-2.128745362,4.092531688,4.924428901,-0.41822433,"Not Goal"
"228",228,"00:37:50:60","00:38:00:60","Shot",228,11,"Pacific",4,"Location 2","6 on 5","Normal","Right","Goal","Pressured",5,1,2,1,1,1.153024248,0.503331761,1.414213562,0.785398163,"Goal"
"229",229,"00:38:00:80","00:38:10:80","Shot",229,10,"UCI",66,"Location 2","Post up","Normal","Right","Goal","Field Blocker",4,2,NA,-1,3.5,-0.529492785,3.609435286,3.640054945,-0.278299659,"Goal"
"230",230,"00:38:11:00","00:38:21:00","Shot",230,10,"UCI",69,"Location 6","Transition","Backhand","Right","Save","Pressured",1,3,NA,-1,4.5,-1.392858518,4.979735981,4.609772229,-0.218668946,"Not Goal"
"231",231,"00:38:21:21","00:38:31:21","Shot",231,11,"Pacific",32,"Location 5","Penalty","Skip","Right","Goal","Other",5,1,5,0,5.5,-0.048739163,5.278870069,5.5,0,"Goal"
"232",232,"00:38:31:41","00:38:41:41","Shot",232,10,"UCI",66,"Location 3","Center","Backhand","Right","Save","Contested",3,3,NA,-1,3.5,-1.45811759,3.974458772,3.640054945,-0.278299659,"Not Goal"
